County,County Code,Year,Zip,Tests,Less than 5 mcg/dL,5-10 mcg/dL,10 – 15 mcg/dL,15 + mcg/dL,Total Elevated Blood Levels ,Percent,"Rate per 1,000",Zip Code Location,County Location
St. Lawrence,89,2016,13660,17,17,0,0,0,0,0,0,"(44.749316, -75.132378)","(44.488113, -75.074311)"
Wayne,117,2018,14513,132,,,0,0,0,0,0,"(43.052762, -77.096188)","(43.112841, -77.027175)"
Allegany,3,2012,14744,5,,,0,0,0,0,0,"(42.416695, -78.167853)","(42.247894, -78.026176)"
Chemung,15,2014,14903,65,59,6,0,0,0,0,0,"(42.12774, -76.86966)","(42.155281, -76.747179)"
Nassau,59,2006,11566,332,321,9,,,,,,"(40.685085, -73.56071)","(40.750656, -73.582905)"
Erie,29,2015,14070,25,,,,,,,,"(42.45302, -78.939188)","(42.752759, -78.778192)"
Monroe,55,2002,14502,1,,,0,0,0,0,0,"(43.087022, -77.333368)","(43.174966, -77.639663)"
Suffolk,103,2017,11955,40,40,0,0,0,0,0,0,"(40.804137, -72.820828)","(40.943554, -72.692218)"
Oneida,65,2000,13476,28,,,0,0,0,0,0,"(43.076874, -75.533524)","(43.242727, -75.434282)"
Erie,29,2006,14004,1,,,0,0,0,0,0,"(42.901992, -78.524759)","(42.752759, -78.778192)"
Westchester,119,2008,10553,205,175,27,,,,,,"(40.904734, -73.8246)","(41.15277, -73.745912)"
Rensselaer,83,2013,12154,20,20,0,0,0,0,0,0,"(42.897909, -73.589565)","(42.710421, -73.513845)"
Ulster,111,2010,12440,16,,,0,0,0,0,0,"(41.820309, -74.126454)","(41.947232, -74.265447)"
Rockland,87,2019,10913,33,33,0,0,0,0,0,0,"(41.060202, -73.961158)","(41.154785, -74.024772)"
St. Lawrence,89,2017,13666,2,,,0,0,0,0,0,"(44.196954, -74.978374)","(44.488113, -75.074311)"
Fulton,35,2010,12086,1,,,0,0,0,0,0,"(42.974141, -74.154373)","(43.115609, -74.423678)"
Chenango,17,2015,13830,54,,,,,,,,"(42.4425, -75.62328)","(42.489732, -75.604905)"
Cayuga,11,2005,13147,9,,,0,0,0,0,0,"(42.78444, -76.56684)","(43.008546, -76.574587)"
Chemung,15,2019,14905,93,,,0,0,0,0,0,"(42.090047, -76.839445)","(42.155281, -76.747179)"
Broome,7,2000,13777,5,,,0,0,0,0,0,"(42.239707, -76.010116)","(42.161977, -75.830291)"
Nassau,59,2008,11566,342,,,0,0,0,0,0,"(40.685085, -73.56071)","(40.750656, -73.582905)"
Schuyler,97,2013,14824,4,,,0,0,0,0,0,"(42.276635, -76.70193)","(42.419776, -76.938604)"
Delaware,25,2015,13757,15,,,0,0,0,0,0,"(42.415691, -74.888542)","(42.193987, -74.966728)"
Orange,71,2006,10950,911,856,55,0,0,0,0,0,"(41.338274, -74.185886)","(41.40241, -74.306252)"
Suffolk,103,2006,11738,138,,,0,0,0,0,0,"(40.837113, -73.044352)","(40.943554, -72.692218)"
Oswego,75,2018,13044,16,16,0,0,0,0,0,0,"(43.266484, -76.009432)","(43.461443, -76.209258)"
Westchester,119,2009,10703,319,293,25,,,,,,"(40.953777, -73.88101)","(41.15277, -73.745912)"
Cortland,23,2019,13863,4,,,0,0,0,0,0,"(42.450705, -75.904204)","(42.593824, -76.076265)"
Nassau,59,2002,11598,7,,,0,0,0,0,0,"(40.633418, -73.714284)","(40.750656, -73.582905)"
St. Lawrence,89,2007,13646,22,16,6,0,0,0,0,0,"(44.4501, -75.6864)","(44.488113, -75.074311)"
Greene,39,2010,12192,20,,,0,0,0,0,0,"(42.38328, -73.8243)","(42.286951, -74.149495)"
Ulster,111,2020,12440,21,,,0,0,0,0,0,"(41.820309, -74.126454)","(41.947232, -74.265447)"
Franklin,33,2005,12916,22,15,7,0,0,0,0,0,"(44.827852, -74.530013)","(44.594374, -74.31067)"
Seneca,99,2008,13148,96,,,,,,,,"(42.92028, -76.78488)","(42.7652, -76.8721)"
Chemung,15,2001,14889,9,,,0,0,0,0,0,"(42.215462, -76.579551)","(42.155281, -76.747179)"
Herkimer,43,2008,13454,2,,,,,,,,"(43.231609, -74.791568)","(43.1631, -74.8741)"
Wyoming,121,2012,14145,8,,,0,0,0,0,0,"(42.73854, -78.42456)","(42.701363, -78.228567)"
Monroe,55,2016,14526,215,,,0,0,0,0,0,"(43.141702, -77.455684)","(43.174966, -77.639663)"
Cayuga,11,2004,13074,3,,,0,0,0,0,0,"(43.28592, -76.53258)","(43.008546, -76.574587)"
Sullivan,105,2001,12737,9,9,0,0,0,0,0,0,"(41.476622, -74.789321)","(41.720176, -74.76468)"
Nassau,59,2002,11030,9,8,0,,,,,,"(40.795533, -73.684954)","(40.750656, -73.582905)"
Sullivan,105,2009,12742,1,,,0,0,0,0,0,"(41.718078, -74.72847)","(41.720176, -74.76468)"
Westchester,119,2006,10573,683,584,94,,,,,,"(41.011395, -73.678286)","(41.15277, -73.745912)"
Dutchess,27,2007,12570,103,,,,,,,,"(41.644619, -73.674092)","(41.755009, -73.739951)"
