County,County Code,Year,Zip,Tests,Less than 5 mcg/dL,5-10 mcg/dL,10 – 15 mcg/dL,15 + mcg/dL,Total Elevated Blood Levels ,Percent,"Rate per 1,000",Zip Code Location,County Location
Clinton,19,2000,12979,34,,,,,,,,"(44.990534, -73.367171)","(44.75271, -73.705648)"
Clinton,19,2016,12981,47,,,,,,,,"(44.679046, -73.824306)","(44.75271, -73.705648)"
Columbia,21,2006,12513,6,,,,,,,,"(42.22224, -73.734878)","(42.247729, -73.626805)"
Dutchess,27,2013,12531,18,18,0,0,0,0,0,0,"(41.5047, -73.66164)","(41.755009, -73.739951)"
Erie,29,2015,14059,51,,,,,,,,"(42.831055, -78.639808)","(42.752759, -78.778192)"
Essex,31,2014,12956,14,,,,,,,,"(44.078155, -73.517787)","(44.108971, -73.777573)"
Genesee,37,2018,14005,19,,,,,,,,"(42.918368, -78.252988)","(43.00091, -78.192778)"
Greene,39,2019,12439,2,,,,,,,,"(42.2586, -74.22498)","(42.286951, -74.149495)"
Greene,39,2004,12463,15,,,,,,,,"(42.174316, -74.021686)","(42.286951, -74.149495)"
Greene,39,2001,12470,12,,,,,,,,"(42.270473, -74.008879)","(42.286951, -74.149495)"
Herkimer,43,2016,13339,7,,,,,,,,"(42.95874, -74.57826)","(43.1631, -74.8741)"
Madison,53,2019,13052,4,,,,,,,,"(42.7602, -75.89232)","(42.910026, -75.663575)"
Rockland,87,2002,10980,143,128,14,,,,,,"(41.23644, -74.01126)","(41.154785, -74.024772)"
Rockland,87,2004,10994,59,,,,,,,,"(41.099095, -73.973848)","(41.154785, -74.024772)"
Schenectady,93,2010,12008,7,6,0,,,,,,"(42.854388, -73.904169)","(42.817542, -74.043583)"
Seneca,99,2003,14521,4,,,,,,,,"(42.67249, -76.808623)","(42.7652, -76.8721)"
St. Lawrence,89,2004,13630,11,,,,,,,,"(44.483181, -75.298577)","(44.488113, -75.074311)"
Steuben,101,2016,14879,24,,,,,,,,"(42.307167, -77.182785)","(42.266725, -77.385525)"
Suffolk,103,2014,11727,264,,,,,,,,"(40.885609, -73.006703)","(40.943554, -72.692218)"
Suffolk,103,2008,11958,5,,,,,,,,"(41.04158, -72.458859)","(40.943554, -72.692218)"
Sullivan,105,2017,12748,9,,,,,,,,"(41.74548, -74.74686)","(41.720176, -74.76468)"
Tioga,107,2012,13827,108,,,,,,,,"(42.09456, -76.24986)","(42.1256, -76.3637)"
Tioga,107,2003,13864,8,,,,,,,,"(42.276942, -76.378237)","(42.1256, -76.3637)"
Tioga,107,2020,14892,72,,,,,,,,"(42.015892, -76.533539)","(42.1256, -76.3637)"
Ulster,111,2005,12446,43,29,12,,,,,,"(41.81292, -74.29488)","(41.947232, -74.265447)"
Ulster,111,2017,12498,20,,,,,,,,"(42.032936, -74.116116)","(41.947232, -74.265447)"
Ulster,111,2012,12589,82,,,,,,,,"(41.617824, -74.149503)","(41.947232, -74.265447)"
Wayne,117,2013,14590,60,,,,,,,,"(43.245974, -76.832666)","(43.112841, -77.027175)"
Westchester,119,2007,10601,173,162,10,,,,,,"(41.030604, -73.76394)","(41.15277, -73.745912)"
Wyoming,121,2020,14530,63,,,,,,,,"(42.735814, -78.015498)","(42.701363, -78.228567)"
Ulster,111,2010,12758,1,,,0,0,0,0,0,"(41.912654, -74.754347)","(41.947232, -74.265447)"
Nassau,59,2007,11363,1,,,0,0,0,0,0,"(40.773215, -73.746899)","(40.750656, -73.582905)"
Cattaraugus,9,2004,14719,33,,,,,,,,"(42.329564, -78.86951)","(42.244853, -78.681006)"
Essex,31,2020,12961,1,,,0,0,0,0,0,"(44.053032, -73.53527)","(44.108971, -73.777573)"
Suffolk,103,2005,11767,134,134,0,0,0,0,0,0,"(40.843134, -73.147736)","(40.943554, -72.692218)"
Albany,1,2008,12209,132,117,12,,,,,,"(42.641762, -73.788358)","(42.588271, -73.974014)"
Montgomery,57,2009,13452,31,21,10,0,0,0,0,0,"(43.03776, -74.6364)","(42.900891, -74.435358)"
Wyoming,121,2012,14011,27,,,0,0,0,0,0,"(42.835713, -78.280907)","(42.701363, -78.228567)"
Rensselaer,83,2006,12144,181,145,33,,,,,,"(42.6246, -73.71012)","(42.710421, -73.513845)"
Schuyler,97,2004,14886,8,,,0,0,0,0,0,"(42.521119, -76.643605)","(42.419776, -76.938604)"
Oneida,65,2011,13477,9,9,0,0,0,0,0,0,"(43.044137, -75.524912)","(43.242727, -75.434282)"
Ulster,111,2017,12409,2,,,0,0,0,0,0,"(42.03738, -74.17518)","(41.947232, -74.265447)"
Washington,115,2019,12838,4,,,0,0,0,0,0,"(43.335141, -73.402119)","(43.312377, -73.439428)"
Otsego,77,2013,13348,20,,,0,0,0,0,0,"(42.69588, -75.06618)","(42.629776, -75.028841)"
Orange,71,2008,10918,90,,,,,,,,"(41.352758, -74.266372)","(41.40241, -74.306252)"
Oneida,65,2012,13461,15,15,0,0,0,0,0,0,"(43.071891, -75.595941)","(43.242727, -75.434282)"
Wyoming,121,2004,14037,3,,,0,0,0,0,0,"(42.818365, -78.455883)","(42.701363, -78.228567)"
Allegany,3,2011,14709,13,,,0,0,0,0,0,"(42.310729, -78.024817)","(42.247894, -78.026176)"
Albany,1,2012,12041,1,,,0,0,0,0,0,"(42.560143, -73.980356)","(42.588271, -73.974014)"
Herkimer,43,2003,13416,16,,,0,0,0,0,0,"(43.189629, -75.018362)","(43.1631, -74.8741)"
Suffolk,103,2020,11798,295,295,0,0,0,0,0,0,"(40.756804, -73.364139)","(40.943554, -72.692218)"
Oneida,65,2012,13417,16,15,0,,,,,,"(43.100821, -75.290988)","(43.242727, -75.434282)"
St. Lawrence,89,2018,13614,6,,,0,0,0,0,0,"(44.541243, -75.688955)","(44.488113, -75.074311)"
Suffolk,103,2018,11786,36,,,0,0,0,0,0,"(40.949365, -72.891529)","(40.943554, -72.692218)"
St. Lawrence,89,2018,13648,5,,,0,0,0,0,0,"(44.20218, -75.29706)","(44.488113, -75.074311)"
Oneida,65,2008,13303,10,10,0,0,0,0,0,0,"(43.306203, -75.43564)","(43.242727, -75.434282)"
Columbia,21,2005,12546,1,,,0,0,0,0,0,"(41.997293, -73.543272)","(42.247729, -73.626805)"
Delaware,25,2007,12455,15,,,,,,,,"(42.151087, -74.653789)","(42.193987, -74.966728)"
Erie,29,2013,14070,15,14,0,,,,,,"(42.45302, -78.939188)","(42.752759, -78.778192)"
Westchester,119,2019,10604,129,,,0,0,0,0,0,"(41.03502, -73.7436)","(41.15277, -73.745912)"
Cortland,23,2000,13835,2,,,0,0,0,0,0,"(42.409488, -76.227768)","(42.593824, -76.076265)"
Westchester,119,2012,10801,648,618,28,,,,,,"(40.916607, -73.785532)","(41.15277, -73.745912)"
Oswego,75,2005,13036,52,,,,,,,,"(43.3068, -76.17828)","(43.461443, -76.209258)"
Otsego,77,2008,13820,71,62,8,,,,,,"(42.48102, -75.07044)","(42.629776, -75.028841)"
Nassau,59,2004,11596,142,133,9,0,0,0,0,0,"(40.757885, -73.644633)","(40.750656, -73.582905)"
Greene,39,2015,12192,10,9,0,,,,,,"(42.38328, -73.8243)","(42.286951, -74.149495)"
Lewis,49,2002,13619,5,,,0,0,0,0,0,"(43.980552, -75.620903)","(43.786397, -75.442617)"
Suffolk,103,2001,11706,602,540,59,,,,,,"(40.636111, -73.197222)","(40.943554, -72.692218)"
Monroe,55,2007,14416,2,,,0,0,0,0,0,"(43.07373, -77.985432)","(43.174966, -77.639663)"
Rockland,87,2019,10993,66,,,0,0,0,0,0,"(41.205428, -73.983291)","(41.154785, -74.024772)"
Onondaga,67,2011,13224,110,94,14,,,,,,"(43.042678, -76.101087)","(43.00653, -76.196117)"
Cattaraugus,9,2020,14726,10,10,0,0,0,0,0,0,"(42.238377, -79.060848)","(42.244853, -78.681006)"
Erie,29,2000,14222,5,,,0,0,0,0,0,"(42.919299, -78.876334)","(42.752759, -78.778192)"
Suffolk,103,2003,11721,18,,,0,0,0,0,0,"(40.890176, -73.372822)","(40.943554, -72.692218)"
Chautauqua,13,2011,14138,3,,,0,0,0,0,0,"(42.399405, -79.100331)","(42.304216, -79.407595)"
Monroe,55,2008,14626,263,,,,,,,,"(43.20974, -77.703726)","(43.174966, -77.639663)"
Essex,31,2020,12946,18,18,0,0,0,0,0,0,"(44.281966, -73.988816)","(44.108971, -73.777573)"
Columbia,21,2000,12583,2,,,0,0,0,0,0,"(42.0573, -73.88676)","(42.247729, -73.626805)"
Otsego,77,2014,13820,107,,,,,,,,"(42.48102, -75.07044)","(42.629776, -75.028841)"
Allegany,3,2008,14880,11,,,0,0,0,0,0,"(42.166475, -77.984285)","(42.247894, -78.026176)"
Suffolk,103,2016,11751,131,,,0,0,0,0,0,"(40.732034, -73.213359)","(40.943554, -72.692218)"
Steuben,101,2017,14808,4,,,0,0,0,0,0,"(42.552703, -77.480345)","(42.266725, -77.385525)"
Broome,7,2019,13803,1,,,0,0,0,0,0,"(42.465051, -76.017549)","(42.161977, -75.830291)"
Niagara,63,2001,14304,157,148,9,0,0,0,0,0,"(43.10016, -78.9552)","(43.203001, -78.71083)"
Rockland,87,2017,10994,53,53,0,0,0,0,0,0,"(41.099095, -73.973848)","(41.154785, -74.024772)"
Cortland,23,2014,13052,1,,,0,0,0,0,0,"(42.7602, -75.89232)","(42.593824, -76.076265)"
Cortland,23,2008,13863,5,,,0,0,0,0,0,"(42.450705, -75.904204)","(42.593824, -76.076265)"
Sullivan,105,2020,10940,13,,,0,0,0,0,0,"(41.4744, -74.41098)","(41.720176, -74.76468)"
Allegany,3,2001,14739,19,,,,,,,,"(42.203341, -78.139046)","(42.247894, -78.026176)"
Greene,39,2007,12414,94,66,26,,,,,,"(42.224593, -73.874142)","(42.286951, -74.149495)"
Cayuga,11,2019,13147,13,,,0,0,0,0,0,"(42.78444, -76.56684)","(43.008546, -76.574587)"
Erie,29,2015,14057,48,,,0,0,0,0,0,"(42.64529, -78.871317)","(42.752759, -78.778192)"
Onondaga,67,2006,13035,1,,,0,0,0,0,0,"(42.96876, -75.82002)","(43.00653, -76.196117)"
Nassau,59,2005,11576,118,110,8,0,0,0,0,0,"(40.774722, -73.656111)","(40.750656, -73.582905)"
Oswego,75,2004,13111,3,,,0,0,0,0,0,"(43.27008, -76.6224)","(43.461443, -76.209258)"
Steuben,101,2015,14437,12,,,0,0,0,0,0,"(42.572707, -77.731377)","(42.266725, -77.385525)"
Greene,39,2013,12418,3,,,0,0,0,0,0,"(42.379172, -74.126219)","(42.286951, -74.149495)"
Franklin,33,2013,13655,67,,,0,0,0,0,0,"(44.982946, -74.655861)","(44.594374, -74.31067)"
Warren,113,2010,12843,13,13,0,0,0,0,0,0,"(43.59355, -73.974572)","(43.555105, -73.838139)"
Cayuga,11,2005,13073,1,,,0,0,0,0,0,"(42.585725, -76.393025)","(43.008546, -76.574587)"
Saratoga,91,2001,12065,203,184,18,,,,,,"(42.85146, -73.79898)","(43.106135, -73.855387)"
Monroe,55,2009,14468,138,130,6,,,,,,"(43.295049, -77.789588)","(43.174966, -77.639663)"
Niagara,63,2019,14305,238,,,,,,,,"(43.117629, -79.02919)","(43.203001, -78.71083)"
Washington,115,2016,12028,6,6,0,0,0,0,0,0,"(42.962677, -73.447303)","(43.312377, -73.439428)"
St. Lawrence,89,2004,13662,136,100,33,,,,,,"(44.91816, -74.93598)","(44.488113, -75.074311)"
Suffolk,103,2003,11703,65,,,0,0,0,0,0,"(40.732426, -73.324916)","(40.943554, -72.692218)"
Delaware,25,2015,13756,2,,,0,0,0,0,0,"(42.023889, -75.113056)","(42.193987, -74.966728)"
Suffolk,103,2010,11944,40,,,,,,,,"(41.102895, -72.370978)","(40.943554, -72.692218)"
Washington,115,2011,12154,2,,,0,0,0,0,0,"(42.897909, -73.589565)","(43.312377, -73.439428)"
Monroe,55,2010,14580,334,326,7,,,,,,"(43.220645, -77.464013)","(43.174966, -77.639663)"
Sullivan,105,2020,12779,51,,,,,,,,"(41.709537, -74.635185)","(41.720176, -74.76468)"
Chemung,15,2008,14904,200,162,37,,,,,,"(42.07222, -76.805797)","(42.155281, -76.747179)"
Ulster,111,2005,12456,6,6,0,0,0,0,0,0,"(42.0366, -73.99884)","(41.947232, -74.265447)"
Herkimer,43,2019,13439,6,6,0,0,0,0,0,0,"(42.85141, -74.988541)","(43.1631, -74.8741)"
Chenango,17,2003,13780,3,,,0,0,0,0,0,"(42.405278, -75.4625)","(42.489732, -75.604905)"
Niagara,63,2003,14131,52,,,,,,,,"(43.228804, -78.911638)","(43.203001, -78.71083)"
Otsego,77,2020,13838,1,,,0,0,0,0,0,"(42.3054, -75.390406)","(42.629776, -75.028841)"
Broome,7,2014,13790,223,207,15,,,,,,"(42.120267, -75.972895)","(42.161977, -75.830291)"
Suffolk,103,2013,11768,131,131,0,0,0,0,0,0,"(40.91382, -73.3335)","(40.943554, -72.692218)"
Essex,31,2001,12974,8,,,0,0,0,0,0,"(44.045341, -73.465362)","(44.108971, -73.777573)"
Suffolk,103,2010,11950,185,,,0,0,0,0,0,"(40.806599, -72.840193)","(40.943554, -72.692218)"
Warren,113,2006,12860,4,,,0,0,0,0,0,"(43.697539, -73.757282)","(43.555105, -73.838139)"
St. Lawrence,89,2011,13666,2,,,0,0,0,0,0,"(44.196954, -74.978374)","(44.488113, -75.074311)"
Suffolk,103,2015,11939,3,,,0,0,0,0,0,"(41.128421, -72.341905)","(40.943554, -72.692218)"
Oneida,65,2020,13323,91,,,,,,,,"(43.056309, -75.375791)","(43.242727, -75.434282)"
Ulster,111,2009,12740,5,,,0,0,0,0,0,"(41.888409, -74.521026)","(41.947232, -74.265447)"
Broome,7,2000,13760,207,161,43,,,,,,"(42.141, -76.07526)","(42.161977, -75.830291)"
Oswego,75,2001,13437,7,,,0,0,0,0,0,"(43.595477, -75.813913)","(43.461443, -76.209258)"
Westchester,119,2010,10466,3,,,0,0,0,0,0,"(40.889675, -73.845608)","(41.15277, -73.745912)"
Orange,71,2005,12566,27,27,0,0,0,0,0,0,"(41.605775, -74.305189)","(41.40241, -74.306252)"
Sullivan,105,2015,12777,5,,,0,0,0,0,0,"(41.5653, -74.60598)","(41.720176, -74.76468)"
Sullivan,105,2015,12737,20,20,0,0,0,0,0,0,"(41.476622, -74.789321)","(41.720176, -74.76468)"
Chenango,17,2016,13780,6,,,,,,,,"(42.405278, -75.4625)","(42.489732, -75.604905)"
Cattaraugus,9,2014,14770,25,,,,,,,,"(42.037594, -78.334611)","(42.244853, -78.681006)"
Rockland,87,2004,10962,34,,,0,0,0,0,0,"(41.047289, -73.963065)","(41.154785, -74.024772)"
Otsego,77,2004,13411,10,,,0,0,0,0,0,"(42.624636, -75.330038)","(42.629776, -75.028841)"
Franklin,33,2013,12955,1,,,0,0,0,0,0,"(44.793668, -73.965388)","(44.594374, -74.31067)"
Nassau,59,2014,11753,89,,,0,0,0,0,0,"(40.784785, -73.5355)","(40.750656, -73.582905)"
Genesee,37,2008,14001,3,,,0,0,0,0,0,"(43.016719, -78.510497)","(43.00091, -78.192778)"
Allegany,3,2016,14024,1,,,0,0,0,0,0,"(42.574673, -78.2611)","(42.247894, -78.026176)"
Erie,29,2011,14070,15,,,0,0,0,0,0,"(42.45302, -78.939188)","(42.752759, -78.778192)"
Suffolk,103,2011,11766,59,59,0,0,0,0,0,0,"(40.931723, -73.012963)","(40.943554, -72.692218)"
St. Lawrence,89,2002,12914,1,,,0,0,0,0,0,"(44.953343, -74.599279)","(44.488113, -75.074311)"
Oneida,65,2015,13424,21,,,0,0,0,0,0,"(43.154445, -75.332472)","(43.242727, -75.434282)"
Orange,71,2002,10926,27,,,0,0,0,0,0,"(41.307707, -74.150676)","(41.40241, -74.306252)"
Oneida,65,2020,13440,369,348,16,,,,,,"(43.21386, -75.45954)","(43.242727, -75.434282)"
Niagara,63,2006,14012,16,,,,,,,,"(43.338643, -78.531618)","(43.203001, -78.71083)"
St. Lawrence,89,2017,13694,21,21,0,0,0,0,0,0,"(44.863217, -75.200794)","(44.488113, -75.074311)"
Ulster,111,2012,12404,13,13,0,0,0,0,0,0,"(41.81046, -74.24982)","(41.947232, -74.265447)"
Franklin,33,2016,12945,4,,,0,0,0,0,0,"(44.36656, -74.24733)","(44.594374, -74.31067)"
Steuben,101,2001,14885,8,8,0,0,0,0,0,0,"(42.066319, -77.564807)","(42.266725, -77.385525)"
Ontario,69,2010,14513,1,,,0,0,0,0,0,"(43.052762, -77.096188)","(42.856695, -77.303277)"
Clinton,19,2019,12921,22,22,0,0,0,0,0,0,"(44.889987, -73.466593)","(44.75271, -73.705648)"
Onondaga,67,2015,13208,458,363,72,13,10,23,0.05,50,"(43.072766, -76.147309)","(43.00653, -76.196117)"
Erie,29,2005,14207,1,0,0,,,,,,"(42.945566, -78.896412)","(42.752759, -78.778192)"
Ontario,69,2008,14456,156,142,13,,,,,,"(42.862982, -76.997939)","(42.856695, -77.303277)"
Monroe,55,2016,14464,57,,,0,0,0,0,0,"(43.316716, -77.921667)","(43.174966, -77.639663)"
Suffolk,103,2018,11704,384,,,0,0,0,0,0,"(40.709193, -73.371464)","(40.943554, -72.692218)"
Clinton,19,2006,12910,20,,,,,,,,"(44.882237, -73.662504)","(44.75271, -73.705648)"
Ulster,111,2014,12419,4,,,0,0,0,0,0,"(41.850267, -74.115043)","(41.947232, -74.265447)"
Suffolk,103,2009,11726,222,212,10,0,0,0,0,0,"(40.680826, -73.393642)","(40.943554, -72.692218)"
Putnam,79,2016,12531,8,8,0,0,0,0,0,0,"(41.5047, -73.66164)","(41.4351, -73.7949)"
Chenango,17,2010,13124,3,,,0,0,0,0,0,"(42.638277, -75.820988)","(42.489732, -75.604905)"
Sullivan,105,2003,12723,2,,,0,0,0,0,0,"(41.781826, -74.983676)","(41.720176, -74.76468)"
Suffolk,103,2008,11788,137,,,0,0,0,0,0,"(40.816902, -73.210989)","(40.943554, -72.692218)"
Broome,7,2007,13904,104,89,14,,,,,,"(42.12906, -75.82182)","(42.161977, -75.830291)"
Onondaga,67,2013,13208,501,406,76,8,11,19,0.038,38,"(43.072766, -76.147309)","(43.00653, -76.196117)"
Columbia,21,2006,12571,5,,,,,,,,"(42.00888, -73.84014)","(42.247729, -73.626805)"
Suffolk,103,2011,11796,23,,,0,0,0,0,0,"(40.732739, -73.100528)","(40.943554, -72.692218)"
Jefferson,45,2020,13659,2,,,0,0,0,0,0,"(43.791138, -75.824986)","(44.0607, -75.9928)"
Allegany,3,2002,14884,1,,,0,0,0,0,0,"(42.454043, -77.895389)","(42.247894, -78.026176)"
Nassau,59,2017,11577,145,,,0,0,0,0,0,"(40.785766, -73.637013)","(40.750656, -73.582905)"
Herkimer,43,2011,13329,24,,,,,,,,"(43.1037, -74.74098)","(43.1631, -74.8741)"
Westchester,119,2001,10607,1,,,0,0,0,0,0,"(41.040477, -73.809229)","(41.15277, -73.745912)"
Monroe,55,2018,14605,181,162,12,,,7,0.039,39,"(43.165247, -77.600096)","(43.174966, -77.639663)"
Warren,113,2015,12845,36,,,0,0,0,0,0,"(43.41696, -73.6848)","(43.555105, -73.838139)"
Broome,7,2012,13826,1,,,0,0,0,0,0,"(42.111157, -75.645249)","(42.161977, -75.830291)"
Suffolk,103,2011,11954,11,11,0,0,0,0,0,0,"(41.041068, -71.950598)","(40.943554, -72.692218)"
Westchester,119,2011,10550,679,629,42,,,8,0.012,12,"(40.907698, -73.838538)","(41.15277, -73.745912)"
Onondaga,67,2000,13219,43,35,8,0,0,0,0,0,"(43.040139, -76.21702)","(43.00653, -76.196117)"
Seneca,99,2004,14456,5,,,0,0,0,0,0,"(42.862982, -76.997939)","(42.7652, -76.8721)"
Nassau,59,2007,11020,71,,,0,0,0,0,0,"(40.786686, -73.72577)","(40.750656, -73.582905)"
Steuben,101,2018,14874,5,,,0,0,0,0,0,"(42.531331, -77.171206)","(42.266725, -77.385525)"
Oneida,65,2012,13501,596,417,135,27,17,44,0.074,74,"(43.08437, -75.234461)","(43.242727, -75.434282)"
Cattaraugus,9,2008,14138,7,7,0,0,0,0,0,0,"(42.399405, -79.100331)","(42.244853, -78.681006)"
Dutchess,27,2001,12583,3,,,0,0,0,0,0,"(42.0573, -73.88676)","(41.755009, -73.739951)"
Washington,115,2015,12839,198,174,22,,,,,,"(43.32084, -73.5768)","(43.312377, -73.439428)"
Cortland,23,2011,13040,29,,,0,0,0,0,0,"(42.562547, -75.928525)","(42.593824, -76.076265)"
Monroe,55,2003,14609,3,,,0,0,0,0,0,"(43.174537, -77.559782)","(43.174966, -77.639663)"
St. Lawrence,89,2016,13670,2,,,0,0,0,0,0,"(44.179515, -75.082431)","(44.488113, -75.074311)"
Fulton,35,2005,12070,4,,,0,0,0,0,0,"(42.962988, -74.251122)","(43.115609, -74.423678)"
Oswego,75,2013,13044,27,,,0,0,0,0,0,"(43.266484, -76.009432)","(43.461443, -76.209258)"
St. Lawrence,89,2001,13666,2,,,0,0,0,0,0,"(44.196954, -74.978374)","(44.488113, -75.074311)"
Chenango,17,2007,13072,2,,,0,0,0,0,0,"(42.763862, -75.753162)","(42.489732, -75.604905)"
Suffolk,103,2004,11713,118,106,10,,,,,,"(40.769052, -72.9426)","(40.943554, -72.692218)"
Wayne,117,2000,14433,57,48,7,,,,,,"(43.08127, -76.869374)","(43.112841, -77.027175)"
Broome,7,2015,13736,2,,,0,0,0,0,0,"(42.3138, -76.19064)","(42.161977, -75.830291)"
Nassau,59,2019,11568,22,22,0,0,0,0,0,0,"(40.78278, -73.59024)","(40.750656, -73.582905)"
Erie,29,2004,14080,1,,,0,0,0,0,0,"(42.640921, -78.538651)","(42.752759, -78.778192)"
Suffolk,103,2014,11784,246,,,0,0,0,0,0,"(40.871531, -73.043571)","(40.943554, -72.692218)"
Rockland,87,2014,10962,40,,,0,0,0,0,0,"(41.047289, -73.963065)","(41.154785, -74.024772)"
Herkimer,43,2005,13339,4,,,0,0,0,0,0,"(42.95874, -74.57826)","(43.1631, -74.8741)"
Niagara,63,2009,14120,536,488,47,,,,,,"(43.07124, -78.81414)","(43.203001, -78.71083)"
Suffolk,103,2011,11798,284,,,,,,,,"(40.756804, -73.364139)","(40.943554, -72.692218)"
Columbia,21,2006,12534,221,132,80,,,9,0.041,41,"(42.248254, -73.774447)","(42.247729, -73.626805)"
Dutchess,27,2010,12501,21,,,0,0,0,0,0,"(41.848904, -73.54105)","(41.755009, -73.739951)"
Albany,1,2013,12208,200,181,14,,,,,,"(42.652812, -73.807109)","(42.588271, -73.974014)"
Warren,113,2017,12836,3,,,0,0,0,0,0,"(43.788709, -73.497895)","(43.555105, -73.838139)"
Steuben,101,2020,14873,22,21,0,,,,,,"(42.524871, -77.249474)","(42.266725, -77.385525)"
Otsego,77,2007,12116,17,17,0,0,0,0,0,0,"(42.542837, -74.899432)","(42.629776, -75.028841)"
Montgomery,57,2014,13452,23,,,0,0,0,0,0,"(43.03776, -74.6364)","(42.900891, -74.435358)"
Rensselaer,83,2012,12061,43,,,,,,,,"(42.595189, -73.693628)","(42.710421, -73.513845)"
Suffolk,103,2002,11941,20,,,0,0,0,0,0,"(40.830437, -72.731567)","(40.943554, -72.692218)"
Erie,29,2007,14228,94,,,0,0,0,0,0,"(43.02588, -78.79536)","(42.752759, -78.778192)"
Suffolk,103,2013,11720,204,,,0,0,0,0,0,"(40.871518, -73.084611)","(40.943554, -72.692218)"
Steuben,101,2016,14418,1,,,0,0,0,0,0,"(42.613768, -77.211323)","(42.266725, -77.385525)"
Chemung,15,2018,14904,158,142,12,,,,,,"(42.07222, -76.805797)","(42.155281, -76.747179)"
Orange,71,2006,12721,14,14,0,0,0,0,0,0,"(41.551493, -74.452492)","(41.40241, -74.306252)"
Ulster,111,2000,12446,22,,,0,0,0,0,0,"(41.81292, -74.29488)","(41.947232, -74.265447)"
Suffolk,103,2015,11780,109,,,0,0,0,0,0,"(40.89144, -73.16928)","(40.943554, -72.692218)"
Ontario,69,2010,14469,44,,,,,,,,"(42.877952, -77.456375)","(42.856695, -77.303277)"
Orange,71,2002,10992,77,70,7,0,0,0,0,0,"(41.42496, -74.17146)","(41.40241, -74.306252)"
Suffolk,103,2015,11767,127,,,0,0,0,0,0,"(40.843134, -73.147736)","(40.943554, -72.692218)"
Columbia,21,2003,12156,1,,,0,0,0,0,0,"(42.47952, -73.72518)","(42.247729, -73.626805)"
Hamilton,41,2014,12032,1,0,0,,,,,,"(43.161683, -74.49371)","(43.657879, -74.502456)"
Dutchess,27,2010,12507,2,,,0,0,0,0,0,"(41.995, -73.875833)","(41.755009, -73.739951)"
Oswego,75,2018,13103,8,8,0,0,0,0,0,0,"(43.324996, -76.098694)","(43.461443, -76.209258)"
Monroe,55,2004,14624,1,,,0,0,0,0,0,"(43.120619, -77.729488)","(43.174966, -77.639663)"
Oneida,65,2012,13363,9,9,0,0,0,0,0,0,"(43.31442, -75.5121)","(43.242727, -75.434282)"
Genesee,37,2012,14011,3,,,0,0,0,0,0,"(42.835713, -78.280907)","(43.00091, -78.192778)"
Cortland,23,2003,13101,2,,,0,0,0,0,0,"(42.597772, -76.078518)","(42.593824, -76.076265)"
Orange,71,2020,10940,578,552,17,,,9,0.016,16,"(41.4744, -74.41098)","(41.40241, -74.306252)"
Westchester,119,2007,10573,706,607,96,,,,,,"(41.011395, -73.678286)","(41.15277, -73.745912)"
Schuyler,97,2018,14812,9,9,0,0,0,0,0,0,"(42.307691, -76.988302)","(42.419776, -76.938604)"
Wyoming,121,2008,14009,51,,,,,,,,"(42.569872, -78.406548)","(42.701363, -78.228567)"
Westchester,119,2017,10504,88,88,0,0,0,0,0,0,"(41.139871, -73.700165)","(41.15277, -73.745912)"
Dutchess,27,2007,12604,1,,,0,0,0,0,0,"(41.685996, -73.896069)","(41.755009, -73.739951)"
Steuben,101,2007,14801,52,41,11,0,0,0,0,0,"(42.107463, -77.230985)","(42.266725, -77.385525)"
Oswego,75,2009,13145,12,12,0,0,0,0,0,0,"(43.656766, -76.114729)","(43.461443, -76.209258)"
Otsego,77,2017,13485,4,,,0,0,0,0,0,"(42.78784, -75.318973)","(42.629776, -75.028841)"
Oneida,65,2009,13492,90,,,0,0,0,0,0,"(43.11864, -75.32934)","(43.242727, -75.434282)"
Cayuga,11,2006,13071,6,,,0,0,0,0,0,"(42.673961, -76.541497)","(43.008546, -76.574587)"
Nassau,59,2020,11510,374,,,0,0,0,0,0,"(40.655358, -73.607376)","(40.750656, -73.582905)"
Ontario,69,2018,14532,33,33,0,0,0,0,0,0,"(42.967137, -77.044133)","(42.856695, -77.303277)"
Onondaga,67,2016,13082,17,17,0,0,0,0,0,0,"(43.083758, -75.970572)","(43.00653, -76.196117)"
Chenango,17,2008,13485,1,,,0,0,0,0,0,"(42.78784, -75.318973)","(42.489732, -75.604905)"
Delaware,25,2015,13783,20,,,,,,,,"(41.94588, -75.23886)","(42.193987, -74.966728)"
Suffolk,103,2018,11789,71,71,0,0,0,0,0,0,"(40.955253, -72.973851)","(40.943554, -72.692218)"
Allegany,3,2010,14735,30,,,0,0,0,0,0,"(42.4533, -78.087607)","(42.247894, -78.026176)"
Delaware,25,2008,13739,5,,,0,0,0,0,0,"(42.364324, -74.803449)","(42.193987, -74.966728)"
Monroe,55,2010,14506,7,7,0,0,0,0,0,0,"(42.998096, -77.499835)","(43.174966, -77.639663)"
Broome,7,2010,13748,26,26,0,0,0,0,0,0,"(42.074345, -75.819022)","(42.161977, -75.830291)"
Schenectady,93,2008,12307,129,111,17,,,,,,"(42.802385, -73.93657)","(42.817542, -74.043583)"
Monroe,55,2016,14514,65,,,0,0,0,0,0,"(43.114248, -77.792506)","(43.174966, -77.639663)"
Tioga,107,2010,13811,35,,,0,0,0,0,0,"(42.23238, -76.17642)","(42.1256, -76.3637)"
